field=chukyo, fold=2, total races=1106

=== Race 202207040111 ===
[test] 1: 馬番=4, pred_score=17.410860
[test] 2: 馬番=10, pred_score=16.059742
[predict] 1: 馬番=4, pred_score=17.410860
[predict] 2: 馬番=10, pred_score=16.059742
=== Race 202207040112 ===
[test] 1: 馬番=10, pred_score=13.890147
[test] 2: 馬番=15, pred_score=13.754746
[predict] 1: 馬番=10, pred_score=13.890147
[predict] 2: 馬番=15, pred_score=13.754746
=== Race 202207040201 ===
[test] 1: 馬番=1, pred_score=23.637230
[test] 2: 馬番=2, pred_score=23.637230
[predict] 1: 馬番=1, pred_score=23.637230
[predict] 2: 馬番=2, pred_score=23.637230
=== Race 202207040202 ===
[test] 1: 馬番=7, pred_score=15.069985
[test] 2: 馬番=13, pred_score=14.984570
[predict] 1: 馬番=7, pred_score=15.069985
[predict] 2: 馬番=13, pred_score=14.984570
=== Race 202207040203 ===
[test] 1: 馬番=13, pred_score=17.037117
[test] 2: 馬番=12, pred_score=16.495285
[predict] 1: 馬番=13, pred_score=17.037117
[predict] 2: 馬番=12, pred_score=16.495285
=== Race 202207040204 ===
[test] 1: 馬番=15, pred_score=12.726049
[test] 2: 馬番=11, pred_score=12.202077
[predict] 1: 馬番=15, pred_score=12.726049
[predict] 2: 馬番=11, pred_score=12.202077
=== Race 202207040206 ===
[test] 1: 馬番=7, pred_score=13.844934
[test] 2: 馬番=16, pred_score=12.687977
[predict] 1: 馬番=7, pred_score=13.844934
[predict] 2: 馬番=16, pred_score=12.687977
=== Race 202207040207 ===
[test] 1: 馬番=9, pred_score=16.060007
[test] 2: 馬番=1, pred_score=15.715831
[predict] 1: 馬番=9, pred_score=16.060007
[predict] 2: 馬番=1, pred_score=15.715831
=== Race 202207040208 ===
[test] 1: 馬番=7, pred_score=12.875941
[test] 2: 馬番=4, pred_score=12.171089
[predict] 1: 馬番=7, pred_score=12.875941
[predict] 2: 馬番=4, pred_score=12.171089
=== Race 202207040209 ===
[test] 1: 馬番=7, pred_score=18.353437
[test] 2: 馬番=4, pred_score=18.131681
[predict] 1: 馬番=7, pred_score=18.353437
[predict] 2: 馬番=4, pred_score=18.131681
