             レースID  馬番           pred_score
6     202207040111   5  44.0102270000000004
12    202207040112  10  32.4342460000000017
26    202207040201   1  71.9226699999999965
46    202207040202  13  39.5712850000000032
56    202207040203  13   42.735750000000003
68    202207040204  11  31.6850090000000009
78    202207040206   7  35.1057849999999974
97    202207040207   8  41.0516700000000014
106   202207040208   2  31.2678639999999994
122   202207040209   2  48.5213800000000006
132   202207040210  14  44.3064540000000022
158   202207040211  11  26.8212399999999995
160   202207040212   4  36.1713700000000031
180   202207040301   7  40.3209719999999976
189   202207040302   8  31.6309900000000006
206   202207040303   3   42.298172000000001
213   202207040304  13  44.9911730000000034
228   202207040306   4  27.6092799999999983
258   202207040307  16  27.1458450000000013
268   202207040308   5  44.4354299999999967
276   202207040309   3  47.8316200000000009
287   202207040310  10  27.4637010000000004
299   202207040311   6  36.1589659999999995
317   202207040312   3  39.9100999999999999
325   202207040401   6  64.9085699999999974
338   202207040402  10  39.5040800000000019
362   202207040403  13  27.0476260000000011
375   202207040404  11  35.6312500000000014
379   202207040406   3  48.8170360000000016
399   202207040407   8  31.9845450000000007
415   202207040408   7  42.1720200000000034
420   202207040409   5  27.6357730000000004
440   202207040410  10  44.0065349999999995
453   202207040411   9  40.4423260000000013
472   202207040412   1  27.5934489999999997
476   202207050101  11  30.3634529999999998
488   202207050102   5  43.4676550000000006
503   202207050104  10   41.643340000000002
514   202207050106   7  39.4372019999999992
526   202207050107  11  26.9100740000000016
533   202207050108   7  44.6400149999999982
547   202207050109   9  40.3803199999999975
561   202207050110   3  47.9944950000000006
569   202207050111   7  31.2354699999999994
589   202207050112   2  27.9194659999999999
595   202207050201   2  39.1713939999999994
606   202207050202   9  34.9395999999999987
617   202207050203   3  30.6287079999999996
632   202207050206   7  39.7396430000000009
642   202207050207   9  27.0142060000000015
663   202207050208  10  31.9489969999999985
668   202207050209   7  44.6082650000000029
684   202207050210   9  26.8835750000000004
695   202207050211  12  27.4444769999999991
705   202207050212   1  35.8043400000000034
716   202207050301   7  30.6288780000000003
726   202207050302   3  39.2434769999999986
734   202207050303  13  34.9395999999999987
749   202207050304   2  43.0309680000000014
759   202207050306  10  39.8389930000000021
771   202207050307   7  27.5365399999999987
785   202207050308   8  71.2858049999999963
799   202207050309   3  30.6287079999999996
820   202207050310   2  40.5084230000000005
832   202207050311  10  44.2973750000000024
847   202207050312   3  32.1456870000000023
854   202207050401   5  26.4757689999999997
860   202207050402   7  39.2434769999999986
867   202207050403   5  26.3106140000000011
878   202207050406   1  40.7747600000000006
886   202207050407  13  44.6218199999999996
902   202207050408   8  27.0844270000000016
922   202207050409   4  48.7849799999999973
927   202207050410  13  36.3225699999999989
948   202207050411  14  44.3079600000000013
963   202207050412   9  31.4116700000000009
970   202207050501   2  26.2388300000000001
980   202207050502   4  30.5568799999999996
990   202207050503   8  43.4676550000000006
1002  202207050506   3             39.94679
1010  202207050507   4  31.9247109999999985
1024  202207050508   8  41.7807120000000012
1043  202207050509   6  49.0911199999999965
1053  202207050510   9  35.5999339999999975
1065  202207050511   1   40.843980000000002
1074  202207050512   2  27.1887860000000003
1086  202207050601   1  38.9778900000000021
1096  202207050602  13  30.3634529999999998
1109  202207050603  11  43.4676550000000006
1120  202207050606   9  55.4580199999999977
1138  202207050607  10  36.2781450000000021
1154  202207050608  13  27.6181370000000008
1161  202207050609   4  43.5397760000000034
1177  202207050610   3  43.7485659999999967
1195  202207050611  16  28.4691369999999999
1208  202207050612   8  40.1911470000000008
1219  202207050701  10  66.0420799999999986
1221  202207050702  13  39.1713939999999994
1234  202207050703  10  30.6287079999999996
1264  202207050706   9  31.6535420000000016
1274  202207050707   6  40.2160379999999975
1283  202207050708   1   44.522038000000002
1300  202207050709  12   27.765232000000001
1318  202207050710  13  32.1293640000000025
1329  202207050711   8  48.5359570000000033
1353  202207050712   8  27.6086729999999996
1355  202207050801  12  30.6288780000000003
1370  202207050802   8  43.5397760000000034
1394  202207050804   9  32.1692540000000022
1398  202207050806   6  49.2855199999999982
1414  202207050807  14  36.7913199999999989
1431  202207050808  12  42.4153700000000029
1440  202207050809   1  30.6288780000000003
1452  202207050810   3  44.2808270000000022
1467  202207050811   5  42.5662459999999996
1486  202207050812   6  31.1510980000000011
1495  202207050901   1  39.2434769999999986
1506  202207050902   9  26.3108399999999989
1517  202207050903   1  34.9395999999999987
1530  202207050906   4   42.120989999999999
1556  202207050907  15  40.4446299999999965
1566  202207050908  13  32.5594099999999997
1580  202207050909  10  44.4953840000000014
1593  202207050910   7  42.7331280000000007
1606  202207050911   6  35.8049200000000027
1621  202207050912   1  31.9582160000000002
1630  202307010101  11 105.6298900000000032
1655  202307010102   6  26.7331900000000005
1657  202307010103   2  41.3926000000000016
1677  202307010104   6  39.9148830000000032
1681  202307010106   8  43.5397760000000034
1703  202307010107   7  27.2836019999999984
1720  202307010108  12  42.1462399999999988
1737  202307010109  12  32.5785600000000031
1742  202307010110  15  65.6696850000000012
1760  202307010111   5  35.9562700000000035
1771  202307010112   5  35.9114000000000004
1786  202307010201  11  39.4033779999999965
1797  202307010202   9  26.3108399999999989
1824  202307010203   4  42.3504140000000007
1826  202307010205   9  34.9395999999999987
1842  202307010206   2  26.7115270000000002
1855  202307010207   1  40.1188550000000035
1864  202307010208  11  40.5599559999999997
1886  202307010209   4  49.9450450000000004
1901  202307010210   7  45.2875749999999968
1908  202307010211  10  31.5501560000000012
1922  202307010212   4  32.1423229999999975
1936  202307010301   9  39.2434769999999986
1951  202307010302   6  30.6288780000000003
1967  202307010303   9  39.2434769999999986
1978  202307010305   5  47.8290500000000023
2010  202307010307  15  26.8220670000000005
2020  202307010308   8  42.2072530000000015
2030  202307010309   1  40.7120299999999986
2048  202307010310  10   31.860396999999999
2054  202307010311   3  35.1163000000000025
2060  202307010312  11   28.061281000000001
2071  202307010401   2  39.2434769999999986
2096  202307010402  11  27.1246100000000006
2100  202307010403   8   39.594807000000003
2116  202307010404   1  31.7822500000000012
2136  202307010405  13  35.0924499999999995
2142  202307010407   6  43.5397639999999981
2170  202307010408   5  40.4283829999999966
2187  202307010409   8  31.4045829999999988
2203  202307010410  16  39.9108469999999969
2211  202307010411  10  27.1033480000000004
2228  202307010412   8  44.8707729999999998
2245  202307010501   4  26.6453510000000016
2258  202307010502  11  30.9439740000000008
2265  202307010503   1  39.4104900000000029
2295  202307010505   2  31.2740900000000011
2296  202307010506   6  47.9959869999999995
2305  202307010507   3  39.7632979999999989
2318  202307010508   7  26.8946690000000004
2325  202307010509   7  43.7067570000000032
2334  202307010510   6  31.7785510000000002
2353  202307010511  15  44.5335600000000014
2377  202307010512   4  36.1564029999999974
2383  202307010601   6  41.4747199999999978
2404  202307010602  14  30.7172030000000014
2409  202307010604  11  26.5932640000000013
2418  202307010605   3  43.7067570000000032
2431  202307010607   5  32.3405699999999996
